x,y
0.651788651,-7.662039186
-8.963529264,8.796642472
-3.267914436,2.554161061
-7.311706461,-3.301887707
-8.732500591,-7.214558547
9.799204648,5.880503785
-3.552923101,2.401455119
6.197488917,0.66922184
-4.907186905,7.877851661
3.630054444,5.771944224
5.204557198,-6.966502405
1.912774812,-3.765558644
-0.568476229,-5.030217204
-1.763181717,4.878925851
-3.022634669,-9.329351305
8.590582885,1.397793697
6.612388156,5.249173715
9.300538213,7.535312735
-7.51405553,-3.158365026
4.617349504,6.425146093
8.766809136,-7.787365261
-6.375338677,6.929045835
-8.670074653,-7.450226753
4.822412986,-2.054254189
1.489462264,5.945907316
6.836575535,-7.001651453
-7.204552467,-5.414972095
5.905346237,4.445051368
-5.967453599,4.400730731
-6.726881143,2.822952658
-6.714684041,3.878968889
6.291494405,0.854488867
3.303944414,-4.964018822
0.461308495,-3.08608013
-2.823390318,-6.368045664
7.544010816,8.169011227
-2.151097852,1.667835895
6.331988789,-1.982971665
-1.217301829,-0.759883927
-2.461111412,8.945666792
-0.746404287,-6.932971938
-3.972442517,1.72459664
4.952187604,0.117773578
0.054407802,2.229084709
-5.355746097,-9.637796324
7.991491465,7.442478179
-2.322175573,8.64236565
0.871057222,1.302663672
8.129442219,3.933016478
2.484759918,8.449987624
