x,y
4.144772686,-5.842274897
-6.949219142,-9.469355923
1.525767203,-6.371291298
2.134300928,1.660831219
-1.517386574,-1.571508988
4.728884712,7.853434222
8.687340295,6.348871235
8.511370258,-3.163652966
-0.983212572,-4.811531331
-7.735239083,-2.406151837
9.696823979,1.80589885
6.777961729,-4.638727184
-7.506746376,2.482978157
8.416837652,-1.811766956
7.397927241,1.040943617
0.376761143,-1.277469417
1.825508715,-4.110684809
-2.019945923,8.969066139
-8.904767224,5.272115883
-3.296055167,-7.197736485
6.057068972,7.369359518
-9.90735954,-0.251376035
-3.330016566,7.891044538
-2.036626128,5.997105119
0.747912059,-1.495729911
8.397112328,-9.550613834
-3.073080113,-4.626452812
-3.060935962,0.832684293
4.750024962,2.669564397
-0.955641182,-4.842246291
-5.507903541,-7.212878519
-0.951209677,6.698604736
-7.182859592,9.688043614
-6.47226027,0.513803646
-0.032644545,-6.566414283
-1.62149101,-4.55385347
8.296918021,-9.632186469
-2.752122018,8.285976131
1.611767006,-7.644978342
2.645285758,1.53032951
-9.738110868,-4.518895586
3.27074744,1.08356005
-6.439280663,3.028407767
9.221406349,6.594836074
-7.026745445,-5.871574565
-1.707517525,-9.780083427
-8.293006638,-7.262287399
9.937485037,8.000372837
0.043900207,7.477801551
1.907700346,1.948262043
-8.658470452,2.010337209
4.999209408,3.300733491
-5.801888138,-6.492574428
7.961085789,8.288238918
-5.89720719,-1.624589502
-6.186245587,-2.337229435
-9.269006643,0.378354106
-0.558661098,-9.060680664
1.296822665,-6.674332625
-8.685827211,4.760672329
5.510552334,-8.344026641
-0.934223305,2.063042189
0.487805387,-5.093017806
-1.184745061,-2.214087719
-1.984738782,-4.226125265
1.192806626,-2.886545671
-6.895195081,4.380918104
-6.36143739,-4.057565688
7.23571242,1.328092806
8.922309243,-0.478991956
-2.533813674,3.273423307
-4.585106537,8.736594786
2.879990865,4.651441944
-1.825316578,-5.701192428
-9.492272887,-9.376337299
-6.876948053,-4.754719114
4.319444577,1.901558614
3.178478838,-8.97148373
-9.45808015,-0.072675056
-5.560556761,1.936856978
-5.378504068,-3.315122184
3.437854872,5.418244075
-9.605789245,-7.868034937
-7.91782836,-8.497244365
5.998321707,4.563775124
-6.429106759,-0.090173676
3.054922157,3.768047929
-5.236344379,-1.303453228
-8.011172145,-5.071959335
-5.13655618,6.382046353
4.445338637,5.988317579
7.113929362,3.893929417
6.604397291,-4.557097255
-2.056329408,1.804613337
3.361702731,-2.780522061
-5.900314092,-8.168358533
-4.137045395,8.346271509
7.92671637,-7.263627382
-9.73996153,9.004747076
-8.289829383,-1.079884541
