x,y
0.822544912,-6.22084365
-6.544382725,6.11092259
-1.328186049,-4.803138764
-6.908024076,4.587696299
-5.758037728,4.086719755
5.780328112,6.357112572
-7.724917833,5.437712471
5.297946906,5.672337853
6.296120277,6.261055272
6.097077549,6.968644991
-7.150993577,6.375698018
6.005113457,5.765412867
5.607891847,4.536485052
0.34361829,-6.763040155
-6.601706612,7.852278185
-0.676922,-4.388323711
0.324083969,-5.38508228
0.331263431,-4.024454873
-0.479174238,-5.185658977
6.361395606,7.538036566
-4.534351231,5.7742237
-4.420787184,6.767434729
-6.463417693,5.534270246
6.091760777,4.012431085
0.73846658,-4.828631719
-0.072010122,-3.996467102
0.208863595,-6.959670124
-0.839217523,-5.309212376
-5.503285847,5.861735699
-6.469474386,6.542560044
-1.47852199,-5.719844208
-0.115648282,-5.301103696
1.030999522,-4.068719881
6.361636025,5.354880245
3.380254896,6.821902504
-6.013497225,4.942289071
-6.234153375,5.765863043
-5.352311462,7.523029856
6.087047068,5.70099265
-5.932471795,4.575251814
5.470239796,6.513267433
5.191506397,5.498242956
-1.106334974,-6.196206624
-6.60063869,5.70830625
-0.460638771,-3.942877774
6.915402118,6.32875111
7.477894045,5.481729782
0.812525822,-3.643759971
5.964173961,7.564643656
-7.01283112,6.314247333
