x,y
5.053864852,5.143200635
-1.061737546,3.701830247
-0.978878885,-1.867904573
2.088321754,1.809154575
1.363782979,1.985589844
3.693414651,-2.633458757
1.167856371,8.013593207
-0.718584182,5.509449162
1.181309661,1.116143305
2.217407161,2.107543356
1.640964362,2.833531232
1.014548062,-6.166939474
2.133349379,1.01129047
2.338591181,-0.727936992
2.764317982,-2.00648004
1.297419775,0.875598828
-0.334236161,9.190746107
0.293427373,4.563371445
2.413017933,-0.284715959
-1.633871342,4.290331125
0.737346618,7.597421746
-0.786677625,5.698534732
0.057489646,2.23852148
2.556903725,-0.587747111
0.382198136,4.792893254
0.092873096,3.573941542
-2.719712282,5.58077288
1.492507132,4.540687207
1.290968362,6.198210861
4.326509447,-0.140940846
-0.61555647,7.269576263
0.438300655,2.790398419
0.498767367,10
3.15490656,-0.756751272
-0.190591065,8.943855213
0.558043052,2.791643134
1.215793019,-0.605672014
0.373218246,0.064456664
-0.892867229,0.718610767
0.388179986,3.696663786
2.1472635,4.091341952
-2.053030599,-0.294800016
0.265939348,1.902581631
-1.40024163,10
2.390093258,8.91017268
-3.04637381,3.745294679
-1.117843695,2.152013913
0.75442375,2.480125307
3.131048058,4.454071891
-0.131500522,-2.091170261
-1.110399053,0.97049385
3.762314139,-4.674336296
-2.896027801,3.59689249
-4.397611913,4.588783759
0.8800289,0.067254151
-1.004108449,8.295947053
-2.042465634,-2.903062652
1.416712895,-3.857499521
0.487601428,2.897807274
-1.128157261,6.18839321
-2.560608797,8.735710766
1.744914657,0.164462949
1.300402356,6.314723334
-0.198351728,1.845966122
3.693273992,1.3094908
-2.140169533,5.53463975
-3.051050342,4.609291514
-1.38381614,-4.305568628
-0.091172033,7.906161399
0.486678899,7.520365417
-0.482472116,-0.502250806
0.704110793,3.583214134
-2.503078848,3.976120745
2.887529208,3.042695063
-0.164302357,-0.201220615
2.234591663,-0.686493472
0.685450693,1.897783716
0.913506438,6.690916077
1.13953456,4.174400618
0.89541712,0.517542672
1.28544552,5.086794843
2.65830506,-9.394170483
0.393042339,6.595062801
1.418007515,-4.958855115
-0.179471389,0.550236234
2.880234431,-2.478679579
-1.352784604,-3.178725903
3.601880866,6.64330715
-0.080315901,0.129195195
-2.861550204,3.386015527
0.25620883,1.812317684
-1.362103315,3.908163309
1.681287098,2.307287564
-1.305247959,-3.131968897
-0.892366866,5.985067278
-3.779081462,0.024973667
-0.904612638,-4.226327595
-4.847758653,0.287539356
-3.167805647,8.003039163
1.520829312,5.400886968
